,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12
point1,11.358864169525068,8.934430858930957,7.751632100647164,5.716736923756431,9.621261149861189,4.684561614144447,5.491243728159417,9.803326907798203,8.296898635915607,7.490216521900637,5.71673692375643,4.684561614144448
point2,5.215786007860058,2.7651315707999333,3.2362317564941483,10.433568294830728,5.65361121849995,11.078593396125886,10.070810803383633,3.058346809541621,1.9028668539341673,2.9106494466764192,10.433568294830728,11.078593396125886
point3,5.7885292785833755,4.631928405285929,4.297378976628046,9.121864701103103,4.325913893147656,9.143793715849409,8.994584001571123,3.6872077585275114,3.8376665342106433,3.9868762484889286,9.121864701103103,9.143793715849409
point4,6.446126284994628,3.157074318086725,2.671722384144406,10.679570386326919,5.328182288677884,10.672373132555553,10.643342215491078,4.4092364555732315,2.3090871175045025,2.338118034568976,10.679570386326919,10.672373132555553
point5,6.976303435340559,2.9768593474707306,2.7694653970607477,11.421249000187485,7.389491826623802,10.859152894063381,10.544210211755347,4.991360633961424,2.122307355996675,2.437250038304707,11.421249000187485,10.859152894063381
point6,7.711887348560783,4.870784903049558,3.7595421557213298,9.458644852454476,6.0457795555760985,8.896236259693623,9.540063828195374,5.799017434786395,4.085223990366432,3.4413964218646815,9.458644852454476,8.896236259693623
point7,9.769221253871393,6.931386924844411,6.186474130235411,6.960142536607976,9.88035100579358,6.760571542840016,7.078643595837579,8.057929967168603,6.220888707220038,5.902816654222475,6.960142536607976,6.760571542840016
point8,7.1919582987317705,4.503332731422173,3.9067628221075443,9.136472612446514,7.011209795301948,9.277073815793996,9.390751061842794,5.228145471039212,3.704386434266057,3.59070918821726,9.136472612446514,9.277073815793996
point9,2.88105159090867,0.0,12.284382546883581,0.2652583762504512,9.671731878153082,0.0,12.087380255271857,1.457845623031705,0.0,12.087380255271857,0.2652583762504512,0.0
point10,5.187990726243863,3.8238994918379694,2.542365825641363,9.764291505374205,4.053516970130515,9.981257147601863,10.77453701354524,3.0278281320329086,3.0002031024581894,2.2069232365148137,9.764291505374205,9.981257147601863
point11,9.121996550812248,5.874826331732738,5.1535004725361375,8.674548428162494,8.269889623651455,7.855620055876544,8.126296470847683,7.347289857056326,5.125840194183508,4.85516377921237,8.674548428162494,7.855620055876544
point12,6.756457440392843,3.7221285527039787,3.508605414618135,10.142562623607558,7.226558041104976,10.086735353296433,9.794566541118341,4.749974016116104,2.8947248967636203,3.1868937089417106,10.142562623607558,10.086735353296433
point13,5.928378065877405,2.8475985692047114,2.1319461658059584,11.026533018137615,5.318082682048601,10.993122326537932,11.190788999626777,3.840759001445099,1.9883379235221217,1.7906712504332771,11.026533018137615,10.993122326537932
