,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10
point1,11.358864169525068,8.934430858930957,9.621261149861189,7.751632100647164,10.594388776493942,9.748949616111275,5.716736923756431,4.684561614144447,6.725768798718206,5.491243728159417
point2,5.215786007860058,2.7651315707999333,5.65361121849995,3.2362317564941483,3.649061045855793,4.964341619258766,10.433568294830728,11.078593396125886,4.902072593748376,10.070810803383633
point3,5.7885292785833755,4.631928405285929,4.325913893147656,4.297378976628046,4.003070019542641,4.301395090716983,9.121864701103103,9.143793715849409,10.456143671145766,8.994584001571123
point4,6.446126284994628,3.157074318086725,5.328182288677884,2.671722384144406,6.134633849051805,5.75761981162415,10.679570386326919,10.672373132555553,9.33106537318669,10.643342215491078
point5,6.976303435340559,2.9768593474707306,7.389491826623802,2.7694653970607477,7.34609405985613,6.40192719063241,11.421249000187485,10.859152894063381,4.187837529728961,10.544210211755347
point6,7.711887348560783,4.870784903049558,6.0457795555760985,3.7595421557213298,7.393847335552567,6.08271720484276,9.458644852454476,8.896236259693623,8.949255261924819,9.540063828195374
point7,9.769221253871393,6.931386924844411,9.88035100579358,6.186474130235411,10.178593970998199,8.13574989453487,6.960142536607976,6.760571542840016,4.944296728966377,7.078643595837579
point8,7.1919582987317705,4.503332731422173,7.011209795301948,3.9067628221075443,7.7079608775148305,4.980650448368754,9.136472612446514,9.277073815793996,7.123356983149919,9.390751061842794
point9,2.88105159090867,0.0,9.671731878153082,12.284382546883581,10.345681273832406,9.704907612856458,0.2652583762504512,0.0,7.182279117736756,12.087380255271857
point10,5.187990726243863,3.8238994918379694,4.053516970130515,2.542365825641363,5.054779017314019,4.595653963380295,9.764291505374205,9.981257147601863,9.743240231428357,10.77453701354524
point11,9.121996550812248,5.874826331732738,8.269889623651455,5.1535004725361375,9.188471637375578,7.702864079874506,8.674548428162494,7.855620055876544,5.701506172172593,8.126296470847683
point12,6.756457440392843,3.7221285527039787,7.226558041104976,3.508605414618135,7.3838115022065365,4.798247499036191,10.142562623607558,10.086735353296433,7.7681715858763765,9.794566541118341
point13,5.928378065877405,2.8475985692047114,5.318082682048601,2.1319461658059584,5.970204643411545,4.181652199799949,11.026533018137615,10.993122326537932,9.421373853439729,11.190788999626777
point14,12.283071099587016,9.747064594703545,11.115594455595714,8.331520550892353,10.995592852670098,10.20964333815749,4.849719863143343,3.842325617645347,5.00230126108074,4.903114691609106
point15,9.557776246302923,6.182552021505752,9.39669779420862,5.9297375310169524,9.33091275741088,9.27463711416803,8.735985612433579,7.536684671378951,4.262019519811335,7.339028586574524
point16,7.416736567258713,3.8472083170074325,7.608634155333059,3.30312343493261,8.53887070639316,6.92070496527911,10.64001453691536,9.957099238903721,6.110688803113114,10.00296855134945
point17,5.301987621999465,1.9561764720037418,5.38369139348237,2.5868884006312918,4.425857465068945,4.184784349157947,11.491123099606853,11.917016751894995,7.603251022399768,10.729381744247336
point18,6.099005404983374,2.8013206123385714,5.945968864819168,1.9980901778766487,5.962132075715092,4.410984474016515,10.687894082405977,11.041086076258512,7.639954198482329,11.326547166881305
point19,6.254444148258749,3.9654318592123383,6.864943923117716,3.085794939570696,6.643778703809086,3.992211584044228,9.619186173670874,9.83456910202239,5.341784676343725,10.223385423832578
point20,5.595943654586233,2.892702752709277,4.717403283915654,2.2433903285031214,5.174179049826374,4.188442665717442,10.692616493436487,10.946375107873513,9.920155078921804,11.07776114399605
point21,4.5793030462329245,1.9167989704819681,4.581285640961772,2.8099186033646038,3.2821833547720938,4.871349435937543,11.130629403578299,11.957828679549344,5.188764938673531,10.503182139479035
point22,5.844192730903301,3.5265940809487875,6.539194347102042,2.815067582525244,5.642649720133171,4.032808788143709,9.725309941320134,10.2893926679255,4.8462350852119345,10.497959990026525
point23,5.991645911892487,3.3476782721805716,6.992741385938526,3.3119120482492166,6.84716975658077,5.98907705597762,10.987695300686328,10.474825942294888,4.242354768725691,9.994055046208377
point24,9.873297245719193,9.079427878287051,9.340067045733809,8.013233392405903,9.858458959087201,9.498800993605988,5.878881419394374,4.534282707779974,3.4327065599479862,5.2259249144852875
point25,3.760254310248408,3.887316280350419,3.601813472123964,3.1135042541980393,3.8315403081461827,0.0,3.706243110112258,2.7244599328952703,3.988649491941357,2.4447078312885475
point26,5.461326485603658,3.197785940084913,5.0145785247526256,3.181572256348368,5.310818687015531,3.904322246427292,9.877083409119294,10.630178485676733,7.69466980495784,10.126247050036705
point27,4.180413159234802,2.5906739006824346,3.091246199433494,2.1597892075241245,2.218247838648856,4.077044838399678,10.317191202271783,11.259406132750252,7.001571957427855,11.162550290451916
point28,8.13581065364879,6.2097970629939265,9.069732271068007,6.178051355739328,8.115144780815436,8.447329973692067,8.51927152237131,7.508447159622641,0.0,5.894274186705893
point29,3.6450145982211293,1.4332892366208139,3.1835747317302485,0.0,9.33008795051749,9.73769782492812,0.8615626162474116,0.8940799947881967,4.738393341224187,0.0
point30,2.8843965534242115,3.3682916073984965,0.0,10.816483767713786,11.482987157300164,9.751953315381705,3.005910137848489,2.8101183725520813,3.6684175428818193,2.382838555820901
point31,8.640820978947529,4.635595087863045,8.541219869469503,4.609477967883119,8.029179317976613,7.474087739938795,9.912321387949756,9.139993464988244,4.95323044886908,8.678049883746292
point32,4.4468816443848755,1.2942977092133643,4.9475877927275524,1.7121893454012596,4.120090179905938,4.157330197044818,12.437148458177463,12.603006140226702,5.441075344026441,11.616510833309885
point33,6.15812751180337,4.243552135551721,7.157997602152256,3.6767470548689136,6.681556546354585,4.4878610048409495,9.660672564687424,9.54631758380723,3.4831541478833987,9.624035500462393
point34,11.425221518103118,7.99908274188742,11.23141024026547,7.666794361710013,10.915585529797857,10.104171030108787,6.786816103374317,5.653982176881435,3.994508660570951,5.577287065706692
point35,7.602036005550423,4.642072001806204,6.342984872982162,3.848990929031607,6.777844932807983,5.56318631018594,9.177107820784236,9.133280612901233,9.418337192408554,9.449343930523094
point36,7.966246837925231,4.24402515952155,8.024808900484215,4.0559881997230285,7.703211946873001,6.739193318213772,9.979857348928416,9.545827328730361,4.331002137796391,9.23940509603033
point37,5.7956019806195735,3.365373496898071,5.774359514546258,2.3473841680311622,6.108599082312159,3.0169992203968614,10.297722096076157,10.456486123792214,6.873987642211772,10.972289485398719
point38,6.638391659923642,5.250104791354654,6.357991980013951,5.030080512609674,7.87849077728634,5.155567128384525,8.911724702462353,8.503098675004455,9.143816155013372,8.251470307457014
point39,9.81845880617392,6.8040705636761505,9.645215765761375,6.534410974376128,9.130740425806056,9.227897084040508,7.882318844854513,6.892525727854552,5.029135822538352,6.725762346282924
point40,11.130310914078665,7.920642891584271,9.772475248634034,7.126272787528964,9.856457276443285,10.142745343257461,6.629182773967006,5.735279399205711,5.285699622168842,6.125489797668926
point41,5.498170361825315,3.145809734815886,6.1908327109501515,2.752428294065391,6.3164272459521404,3.496271126504442,10.60997365937408,10.68404805706166,7.479901002309017,10.561489422896784
point42,7.544855923564406,5.406851288929081,6.030628226586684,4.251005177671167,7.164043277238948,6.10230409459434,8.790061831981712,8.340642285648638,10.366665214279296,9.041616801914286
point43,7.322115724052719,4.325370345973006,6.325244279917481,3.850106426527311,7.4691003138745575,5.932234790442202,9.52493226169906,9.461518935963214,8.800656951566355,9.44821258109348
point44,7.743138245481643,4.596670519854279,6.72952167304069,3.6455596387589275,7.3605734380716585,5.189358444277972,9.160701112854762,9.180335959868783,8.00224052036473,9.655666109731301
point45,6.741929681703343,4.068115566699019,6.772115432250073,3.1961633822368922,7.287786542610131,4.244190780673693,9.703722992079213,9.728144878055062,7.384808234696519,10.111448574903473
point46,5.898659348364798,1.7478216624282172,6.293168285265516,1.7025843638339315,5.87552167457574,5.126143450488372,12.137267921861428,12.132961417915272,5.367976344210306,11.626252307817419
point47,10.373855159781595,8.013858048142922,9.740620545461718,7.35327281549085,10.556560740375478,9.138985075112394,6.244407338563604,5.638668642333365,7.547311598497998,5.895263953912822
point48,3.4309792001631796,3.0104295218362744,1.8490379195133766,3.2429633905450364,0.0,9.100751402204232,3.207412607343243,1.9579328812178263,5.221652476936247,2.7183092130157416
point49,5.682208657046741,1.667493142351981,5.479668411134179,1.4957780605561473,5.52742527317192,4.878268326181878,12.350649292576438,12.216216109636122,6.641467443177524,11.83599746112728
point50,6.404716499490859,2.545889906478342,6.053691826009396,2.0992259794313046,6.852894310480409,5.747051588110222,11.30804009562027,11.3058214984006,5.778773931804138,11.223974160807577
point51,6.333449247024322,2.2262476347738738,6.010126907980133,2.532011427826636,5.3956004894946625,5.997849583732829,11.578918340089727,11.63710755678249,5.7261329217960375,10.785038553985059
point52,6.507829104190921,2.78764823342616,5.6835808013240126,2.806220796888152,5.574999263926669,5.574442976787558,10.607500334118575,11.055256506516198,7.988594980951609,10.506932494154018
point53,5.007867403069072,1.7247051215753866,5.235137591692677,1.773126791471701,4.23475339567629,5.13665931954044,12.021160177637183,12.156920037849119,3.954467295820504,11.554707427099446
point54,6.944923829737169,4.558498789903735,6.043474699771954,3.8007938825202316,7.173559184274936,5.132282425801166,9.4700376380761,9.219898192640754,10.227735236333038,9.49822588793632
point55,5.6553422059067575,4.418081929382601,4.229773946493141,4.598870463676915,2.3599232586863046,5.92689107105134,8.524294254324019,9.365430096178892,6.9762899677431935,8.68880812738153
point56,5.7448144435216815,2.855943565710899,5.525672587588175,2.5857373944403355,4.538207083997898,6.3123257261421815,10.447954931672104,10.984473342206154,6.48600581794284,10.730549106973502
point57,7.2991148316587955,3.789059587491489,7.773161263531196,3.8948904851277915,7.177154200033009,6.986030625116678,10.919926439721312,10.017366184506782,4.139638914089646,9.402792112335437
point58,3.8538708114499145,1.4398306996952743,3.3935863372063544,0.7124391644202493,2.797947817102715,3.278506389241412,11.666986237419877,12.45217173861834,6.673991475039802,12.630468104717433
point59,8.571007113335414,5.242324954374502,8.769399333941132,4.271360445078307,9.134676051979813,6.908296406079463,8.812485241339585,8.511161912430047,5.483859673785019,9.02097227311944
point60,7.548782445654339,3.6431201633496504,7.597097376662838,3.1006785208901833,7.637555493523474,7.185465846980627,10.721483283358843,10.168621825159883,4.410071463036484,10.208290337289386
point61,6.242114971626002,2.8784089159647306,6.205973752252294,2.8236355147881125,4.972470088790521,4.881409929332113,10.423403424681696,10.961189634153168,6.027632879620502,10.489270301958314
point62,5.371248145430782,1.4305725978277957,5.733893262381217,1.3137472596267306,4.923268778861668,5.368226985823896,11.924951400265439,12.461767090507871,5.843496156378296,12.020615036331323
