,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8
point1,11.358864169525068,4.323264960163692,8.934430858930957,7.751632100647164,5.716736923756431,4.684561614144447,7.161925474615582,9.621261149861189
point2,5.215786007860058,9.382137900485583,2.7651315707999333,3.2362317564941483,10.433568294830728,11.078593396125886,2.8685013204356187,5.65361121849995
point3,5.7885292785833755,5.692015226176959,4.631928405285929,4.297378976628046,9.121864701103103,9.143793715849409,7.733498584197083,4.325913893147656
point4,6.446126284994628,4.1474079729083835,3.157074318086725,2.671722384144406,10.679570386326919,10.672373132555553,10.388695112594098,5.328182288677884
point5,6.976303435340559,4.281682594651736,2.9768593474707306,2.7694653970607477,11.421249000187485,10.859152894063381,9.048147087597883,7.389491826623802
point6,7.711887348560783,3.4872259360356166,4.870784903049558,3.7595421557213298,9.458644852454476,8.896236259693623,10.229505701049606,6.0457795555760985
point7,9.769221253871393,4.840441422047988,6.931386924844411,6.186474130235411,6.960142536607976,6.760571542840016,6.368802974204505,9.88035100579358
point8,7.1919582987317705,4.4985269343652785,4.503332731422173,3.9067628221075443,9.136472612446514,9.277073815793996,7.971287833693724,7.011209795301948
point9,2.88105159090867,6.812619055987241,0.0,12.284382546883581,0.2652583762504512,0.0,6.872564753134898,3.4500301095768737
point10,5.187990726243863,4.1817177429941506,3.8238994918379694,2.542365825641363,9.764291505374205,9.981257147601863,8.396784818499329,4.053516970130515
point11,9.121996550812248,3.3562304957586506,5.874826331732738,5.1535004725361375,8.674548428162494,7.855620055876544,9.791859171673261,8.269889623651455
point12,6.756457440392843,2.923266854586687,3.7221285527039787,3.508605414618135,10.142562623607558,10.086735353296433,10.411817723781308,7.226558041104976
point13,5.928378065877405,3.899103206768662,2.8475985692047114,2.1319461658059584,11.026533018137615,10.993122326537932,10.368684521727378,5.318082682048601
point14,12.283071099587016,6.02159343964822,9.747064594703545,8.331520550892353,4.849719863143343,3.842325617645347,5.132084525715835,11.115594455595714
point15,9.557776246302923,5.021109477627044,6.182552021505752,5.9297375310169524,8.735985612433579,7.536684671378951,7.4109449496542,9.39669779420862
point16,7.416736567258713,2.7272830183096706,3.8472083170074325,3.30312343493261,10.64001453691536,9.957099238903721,10.482317220616554,7.608634155333059
point17,5.301987621999465,5.332295842978673,1.9561764720037418,2.5868884006312918,11.491123099606853,11.917016751894995,8.981735414584582,5.38369139348237
point18,6.099005404983374,4.925787114748728,2.8013206123385714,1.9980901778766487,10.687894082405977,11.041086076258512,9.12512866456376,5.945968864819168
point19,6.254444148258749,5.461524194410883,3.9654318592123383,3.085794939570696,9.619186173670874,9.83456910202239,6.089905485294811,6.864943923117716
point20,5.595943654586233,4.903671671177444,2.892702752709277,2.2433903285031214,10.692616493436487,10.946375107873513,9.54081498150867,4.717403283915654
point21,4.5793030462329245,9.025995090474744,1.9167989704819681,2.8099186033646038,11.130629403578299,11.957828679549344,3.812189420026816,4.581285640961772
point22,5.844192730903301,6.91955436289233,3.5265940809487875,2.815067582525244,9.725309941320134,10.2893926679255,5.309068090958561,6.539194347102042
point23,5.991645911892487,3.559743261180911,3.3476782721805716,3.3119120482492166,10.987695300686328,10.474825942294888,8.194855804072352,6.992741385938526
point24,9.873297245719193,5.829231417179461,9.079427878287051,8.013233392405903,5.878881419394374,4.534282707779974,3.878798487054896,9.340067045733809
point25,3.760254310248408,4.484927601803273,3.887316280350419,3.1135042541980393,9.275217139947797,9.915530240489428,6.292146604250618,3.601813472123964
point26,5.461326485603658,4.2885963016248905,3.197785940084913,3.181572256348368,9.877083409119294,10.630178485676733,8.513384828469805,5.0145785247526256
point27,4.180413159234802,10.159065800907957,2.5906739006824346,2.1597892075241245,10.317191202271783,11.259406132750252,3.3344256870373243,3.091246199433494
point28,8.13581065364879,6.246149307248195,6.2097970629939265,6.178051355739328,8.51927152237131,7.508447159622641,3.0253072372251024,9.069732271068007
point29,3.6450145982211293,6.36508288993226,1.4332892366208139,0.0,0.8615626162474116,0.8940799947881967,4.286693349257058,9.938187255999706
point30,2.8843965534242115,7.551735066078993,3.3682916073984965,2.3494513473171446,9.975550112211566,10.453461713658807,4.877969900358278,0.0
point31,8.640820978947529,4.962537991879288,4.635595087863045,4.609477967883119,9.912321387949756,9.139993464988244,8.491438181267881,8.541219869469503
point32,4.4468816443848755,5.7255095307567005,1.2942977092133643,1.7121893454012596,12.437148458177463,12.603006140226702,7.376055200879451,4.9475877927275524
point33,6.15812751180337,5.730548631112259,4.243552135551721,3.6767470548689136,9.660672564687424,9.54631758380723,4.946377559870625,7.157997602152256
point34,11.425221518103118,5.155464078768834,7.99908274188742,7.666794361710013,6.786816103374317,5.653982176881435,6.557558506720846,11.23141024026547
point35,7.602036005550423,3.602319489134232,4.642072001806204,3.848990929031607,9.177107820784236,9.133280612901233,10.528473354453425,6.342984872982162
point36,7.966246837925231,5.6861255810857925,4.24402515952155,4.0559881997230285,9.979857348928416,9.545827328730361,7.660336358609245,8.024808900484215
point37,5.7956019806195735,4.460408981780036,3.365373496898071,2.3473841680311622,10.297722096076157,10.456486123792214,8.2946172944408,5.774359514546258
point38,6.638391659923642,0.0,8.204238325877796,8.135854602421258,4.069735547597701,5.441353276414712,0.0,6.357991980013949
point39,9.81845880617392,5.685206038803524,6.8040705636761505,6.534410974376128,7.882318844854513,6.892525727854552,6.807419572136256,9.645215765761375
point40,11.130310914078665,6.486199054711695,7.920642891584271,7.126272787528964,6.629182773967006,5.735279399205711,5.360425973098605,9.772475248634034
